name,protocol,port,type
TCP_2040,TCP,2040,ProtocolPortObject
TCP_161,TCP,161,ProtocolPortObject
TCP_162,TCP,162,ProtocolPortObject
TCP_135,TCP,135,ProtocolPortObject
TCP_6063,TCP,6063,ProtocolPortObject
TCP_7000,TCP,7000,ProtocolPortObject
TCP_1433,TCP,1433,ProtocolPortObject
TCP_4520,TCP,4520,ProtocolPortObject
TCP_8100,TCP,8100,ProtocolPortObject
TCP_8200,TCP,8200,ProtocolPortObject
TCP_82,TCP,82,ProtocolPortObject
TCP_8877,TCP,8877,ProtocolPortObject
TCP_5900,TCP,5900,ProtocolPortObject
TCP_8888,TCP,8888,ProtocolPortObject
TCP_1160,TCP,1160,ProtocolPortObject
TCP_51433,TCP,51433,ProtocolPortObject
TCP_5432,TCP,5432,ProtocolPortObject
sqlnet,TCP,1521,ProtocolPortObject
TCP_8080,TCP,8080,ProtocolPortObject
TCP_9998,TCP,9998,ProtocolPortObject
TCP_9999,TCP,9999,ProtocolPortObject
TCP_12890,TCP,12890,ProtocolPortObject
TCP_211,TCP,211,ProtocolPortObject
TCP_256,TCP,256,ProtocolPortObject
TCP_5531,TCP,5531,ProtocolPortObject
TCP_5845,TCP,5845,ProtocolPortObject
TCP_9501,TCP,9501,ProtocolPortObject
TCP_9561,TCP,9561,ProtocolPortObject
TCP_9562,TCP,9562,ProtocolPortObject
netbios_ssn,TCP,137,ProtocolPortObject
TCP_137,TCP,137,ProtocolPortObject
TCP_138,TCP,138,ProtocolPortObject
TCP_139,TCP,139,ProtocolPortObject
TCP_445,TCP,445,ProtocolPortObject
UDP_2040,UDP,2040,ProtocolPortObject
UDP_137,UDP,137,ProtocolPortObject
UDP_138,UDP,138,ProtocolPortObject
10112,UDP,10112,ProtocolPortObject
UDP_1434,UDP,1434,ProtocolPortObject
UDP_4500,UDP,4500,ProtocolPortObject
